Ticker,RMSE (INR),MAPE (%)
HINDUNILVR.BO,55.66965592831884,1.7264494271165645
ASIANPAINT.BO,67.0727793316564,1.7785042661204458
ITC.BO,11.742310471017309,1.9964321522643314
HDFCBANK.BO,45.06630328312088,2.0959348226974472
HDFCLIFE.BO,18.62663500211568,2.1281989804493042
WIPRO.BO,7.009417870953148,2.175524228142537
RELIANCE.BO,37.88620246370557,2.375525950868831
INFY.BO,52.07963207021271,2.5154670753239716
KOTAKBANK.BO,55.98821604927607,2.5684164233421574
TECHM.BO,50.965514581923635,2.6102580609280874
INDUSINDBK.BO,44.179382609390196,2.647940122356142
TCS.BO,146.07779377352452,2.9080691457043466
BRITANNIA.BO,196.5205218516256,3.1037397120146455
DIVISLAB.BO,224.92494649320844,3.168432445304598
ADANIENT.BO,131.564648470956,3.6688601178046003
EICHERMOT.BO,226.96434012122575,3.767019713024737
ADANIGREEN.BO,77.89734689147258,3.891789196732365
NESTLEIND.BO,116.18280200656595,3.941438655635693
LTIM.BO,250.1936294766761,3.9937039795403195
BAJFINANCE.BO,363.1313702343187,4.028805475173633
BAJAJFINSV.BO,85.75395188152925,4.427723785685385
HINDALCO.BO,35.3526268587031,4.525272462816099
SBILIFE.BO,101.58500693828489,5.248774447207193
TITAN.BO,223.56304683177197,5.7141054570200485
UPL.BO,35.22560037831166,5.776512357071377
TATASTEEL.BO,11.594040362598431,6.492196477273334
DRREDDY.BO,95.67105205671976,7.092886620424664
ICICIBANK.BO,98.76140741418848,7.412912293955781
SBIN.BO,67.65673366730522,7.5325250939169015
TATACONSUM.BO,103.3698699002481,8.01383975056989
TATAMOTORS.BO,94.97994611132229,8.423620929219219
ULTRACEMCO.BO,1125.4892987899068,8.756177845930878
HCLTECH.BO,177.1735639226185,9.06344741580314
AXISBANK.BO,112.29456120326756,9.082943794171978
JSWSTEEL.BO,92.85046380221505,9.206884960799371
LT.BO,382.95629355319164,10.179094957727717
SUNPHARMA.BO,205.4761147003771,10.558198398932397
MARUTI.BO,1413.1961092982037,11.194486330215685
BHARTIARTL.BO,233.44480965925757,12.422554381713832
GRASIM.BO,371.0056703837861,13.00607234139651
CIPLA.BO,204.47182014363617,13.165795778000728
ADANIPORTS.BO,207.58712833808153,13.972943893800165
VEDL.BO,73.57856609752226,13.997645983000984
SHRIRAMFIN.BO,98.55714875657878,14.161054353248073
GAIL.BO,33.45848834063868,14.983524861831961
HEROMOTOCO.BO,811.5121431508984,15.074363141666305
POWERGRID.BO,54.71467628927762,15.714965219568663
NTPC.BO,64.6166430375135,16.424631668007297
BPCL.BO,56.023511536350966,16.90635827247356
ONGC.BO,51.01333906457574,17.596522768875257
M&M.BO,641.8966490678206,20.188614880238962
BAJAJ-AUTO.BO,2289.8756051620076,21.699261388767447
COALINDIA.BO,104.14847457888479,22.934974541048053
